point_id,section_id,zone,point_class,is_primary,is_nearby,metric,distance_type,associated_fault,competing_fault,value,units
ORE_0000,K00,MZ-II,MZII_primary,True,False,3D_surface_associated_distance,3D finite surface,F7,other_of_F2_F7,9.418727004108767,m
ORE_0000,K00,MZ-II,MZII_primary,True,False,3D_surface_competing_F2F7_distance,3D finite surface,F7,other_of_F2_F7,1480.8642455919962,m
ORE_0000,K00,MZ-II,MZII_primary,True,False,3D_pairwise_F2F7_separation_ratio,3D finite surface ratio,F7,other_of_F2_F7,157.2255194301728,ratio
ORE_0000,K00,MZ-II,MZII_primary,True,False,plan_trace_associated_distance,2D plan trace,F7,F6,1.5036948321874175,m
ORE_0000,K00,MZ-II,MZII_primary,True,False,plan_trace_nearest_competing_distance,2D plan trace,F7,F6,368.34907008707506,m
ORE_0000,K00,MZ-II,MZII_primary,True,False,DSI_2D_Eq5,2D plan trace ratio,F7,F6,244.96264947006532,ratio
ORE_0001,K00,MZ-II,MZII_primary,True,False,3D_surface_associated_distance,3D finite surface,F7,other_of_F2_F7,7.931966853858347,m
ORE_0001,K00,MZ-II,MZII_primary,True,False,3D_surface_competing_F2F7_distance,3D finite surface,F7,other_of_F2_F7,1480.428511557123,m
ORE_0001,K00,MZ-II,MZII_primary,True,False,3D_pairwise_F2F7_separation_ratio,3D finite surface ratio,F7,other_of_F2_F7,186.64078391061332,ratio
ORE_0001,K00,MZ-II,MZII_primary,True,False,plan_trace_associated_distance,2D plan trace,F7,F6,2.9746029206207685,m
ORE_0001,K00,MZ-II,MZII_primary,True,False,plan_trace_nearest_competing_distance,2D plan trace,F7,F6,366.7554015909996,m
ORE_0001,K00,MZ-II,MZII_primary,True,False,DSI_2D_Eq5,2D plan trace ratio,F7,F6,123.29558310070563,ratio
ORE_0002,K00,MZ-II,MZII_primary,True,False,3D_surface_associated_distance,3D finite surface,F7,other_of_F2_F7,9.491923567841203,m
ORE_0002,K00,MZ-II,MZII_primary,True,False,3D_surface_competing_F2F7_distance,3D finite surface,F7,other_of_F2_F7,1479.7201343730817,m
ORE_0002,K00,MZ-II,MZII_primary,True,False,3D_pairwise_F2F7_separation_ratio,3D finite surface ratio,F7,other_of_F2_F7,155.89254631025457,ratio
ORE_0002,K00,MZ-II,MZII_primary,True,False,plan_trace_associated_distance,2D plan trace,F7,F6,9.383597434453552,m
ORE_0002,K00,MZ-II,MZII_primary,True,False,plan_trace_nearest_competing_distance,2D plan trace,F7,F6,359.81152021752183,m
ORE_0002,K00,MZ-II,MZII_primary,True,False,DSI_2D_Eq5,2D plan trace ratio,F7,F6,38.34473108324209,ratio
ORE_0003,K00,MZ-II,MZII_primary,True,False,3D_surface_associated_distance,3D finite surface,F7,other_of_F2_F7,13.331905609582105,m
ORE_0003,K00,MZ-II,MZII_primary,True,False,3D_surface_competing_F2F7_distance,3D finite surface,F7,other_of_F2_F7,1479.540295736709,m
ORE_0003,K00,MZ-II,MZII_primary,True,False,3D_pairwise_F2F7_separation_ratio,3D finite surface ratio,F7,other_of_F2_F7,110.97740556108586,ratio
ORE_0003,K00,MZ-II,MZII_primary,True,False,plan_trace_associated_distance,2D plan trace,F7,F6,13.691275690975278,m
ORE_0003,K00,MZ-II,MZII_primary,True,False,plan_trace_nearest_competing_distance,2D plan trace,F7,F6,355.1443281377317,m
ORE_0003,K00,MZ-II,MZII_primary,True,False,DSI_2D_Eq5,2D plan trace ratio,F7,F6,25.939462191374037,ratio
ORE_0004,K00,MZ-II,MZII_nearby,False,True,3D_surface_associated_distance,3D finite surface,F7,other_of_F2_F7,17.59892898461935,m
ORE_0004,K00,MZ-II,MZII_nearby,False,True,3D_surface_competing_F2F7_distance,3D finite surface,F7,other_of_F2_F7,1479.5368995084784,m
ORE_0004,K00,MZ-II,MZII_nearby,False,True,3D_pairwise_F2F7_separation_ratio,3D finite surface ratio,F7,other_of_F2_F7,84.0697124695216,ratio
ORE_0004,K00,MZ-II,MZII_nearby,False,True,plan_trace_associated_distance,2D plan trace,F7,F6,19.890172985562895,m
ORE_0004,K00,MZ-II,MZII_nearby,False,True,plan_trace_nearest_competing_distance,2D plan trace,F7,F6,348.4281236585835,m
ORE_0004,K00,MZ-II,MZII_nearby,False,True,DSI_2D_Eq5,2D plan trace ratio,F7,F6,17.517601476442007,ratio
ORE_0005,K00,MZ-II,MZII_nearby,False,True,3D_surface_associated_distance,3D finite surface,F7,other_of_F2_F7,10.011538737256403,m
ORE_0005,K00,MZ-II,MZII_nearby,False,True,3D_surface_competing_F2F7_distance,3D finite surface,F7,other_of_F2_F7,1480.348138559284,m
ORE_0005,K00,MZ-II,MZII_nearby,False,True,3D_pairwise_F2F7_separation_ratio,3D finite surface ratio,F7,other_of_F2_F7,147.86419724376591,ratio
ORE_0005,K00,MZ-II,MZII_nearby,False,True,plan_trace_associated_distance,2D plan trace,F7,F6,40.51223335117798,m
ORE_0005,K00,MZ-II,MZII_nearby,False,True,plan_trace_nearest_competing_distance,2D plan trace,F7,F6,326.85658197482394,m
ORE_0005,K00,MZ-II,MZII_nearby,False,True,DSI_2D_Eq5,2D plan trace ratio,F7,F6,8.068095854935628,ratio
ORE_0006,K00,MZ-II,MZII_nearby,False,True,3D_surface_associated_distance,3D finite surface,F7,other_of_F2_F7,7.33294841997593,m
ORE_0006,K00,MZ-II,MZII_nearby,False,True,3D_surface_competing_F2F7_distance,3D finite surface,F7,other_of_F2_F7,1480.5947091094624,m
ORE_0006,K00,MZ-II,MZII_nearby,False,True,3D_pairwise_F2F7_separation_ratio,3D finite surface ratio,F7,other_of_F2_F7,201.90987639789267,ratio
