fault,Y,X,Z
F2,-214.07500864751637,822.1640345854685,1765.7628173828125
F2,-213.4135489873588,791.3223756793886,1764.545166015625
F2,-208.25416366942227,667.1002522362396,1747.634765625
F2,-203.88852993771434,610.7438895227388,1757.5152587890625
F2,-198.3322688266635,560.7375395102426,1740.6824951171875
F2,-190.7916287444532,496.8405367154628,1747.76123046875
F2,-178.4884791392833,437.70604344736785,1739.2509765625
F2,-165.78845373913646,380.5559291476384,1759.62890625
F2,-146.73841563612223,305.5464041279629,1803.2926025390625
F2,-136.0227692089975,263.0806941948831,1793.5804443359375
F2,-118.16335848532617,193.23055449593812,1765.07958984375
F2,-104.66958149895072,134.88981281407177,1791.4234619140625
F2,-87.60392236895859,80.51782907079905,1777.3858642578125
F2,-64.58512632921338,13.445819926448166,1740.9705810546875
F2,-38.78819973580539,-58.78557453677058,1759.0123291015625
F2,-22.51629219017923,-109.18880034331232,1755.1602783203125
F2,-7.4350120313465595,-171.1014241669327,1715.6724853515625
F2,8.04314392618835,-231.82342061121017,1737.05126953125
F2,24.711927263066173,-285.00477697514,1744.570068359375
F2,35.824449490755796,-346.9174008015543,1778.7943115234375
F2,48.92135068401694,-415.9737889133394,1830.2181396484375
F2,65.19325822405517,-487.41143178846687,1825.7957763671875
F2,77.8932836279273,-554.0865651387721,1812.108154296875
F2,91.78393640741706,-628.6992143625394,1787.5814208984375
F2,103.69021022133529,-694.580596126616,1811.82861328125
F2,116.39023562148213,-751.7307104263455,1834.3428955078125
F2,131.4715157803148,-810.4683279013261,1841.206787109375
F2,143.37778959423304,-867.6184422001243,1832.63525390625
F2,163.22157928347588,-925.165432295762,1822.7823486328125
F2,174.33410150930285,-989.0624350905418,1828.8138427734375
F2,183.46224476397038,-1031.925020813942,1844.4173583984375
F2,194.57476699166,-1077.962612889707,1855.93359375
F2,214.8154324684292,-1118.0470680575818,1855.3197021484375
F2,233.86547057144344,-1159.719026401639,1902.9954833984375
F2,253.31238446198404,-1213.6941343527287,1900.4522705078125
F2,271.1717951837927,-1260.9223538096994,1883.1436767578125
F2,285.8561995495111,-1293.8630446894094,1870.431396484375
F2,300.5406039208174,-1323.6287292223424,1863.455078125
F2,310.06562297046185,-1358.9506748672575,1859.0594482421875
F2,318.79689043201506,-1403.7976395599544,1855.271240234375
F2,331.1000400390476,-1450.6289832210168,1848.814453125
F2,341.41881067305803,-1500.23845744133,1843.6361083984375
F2,349.3563265539706,-1535.5604030853137,1841.226318359375
F2,354.9125876650214,-1566.516714998521,1836.872802734375
F2,368.00948885828257,-1614.9355618357658,1842.06494140625
F2,375.15325314737856,-1655.813768592663,1865.9891357421875
F2,381.9001416377723,-1692.3263416169211,1879.820068359375
F2,392.2189122773707,-1729.6326662302017,1896.39697265625
F2,400.15642815455794,-1757.017095998861,1895.048583984375
F2,410.0783229954541,-1789.5609110873193,1895.5030517578125
F2,419.60334204509854,-1810.9922039490193,1908.4876708984375
F2,439.84400752559304,-1844.726646417752,1896.763671875
F2,457.3065424505621,-1872.5079519823194,1903.4093017578125
F2,479.9284626916051,-1917.7517924681306,1919.76171875
F2,496.9941218290478,-1940.7705885060132,1935.24951171875
F2,525.9660547729582,-1982.8394226431847,1954.7120361328125
F2,544.6192170772702,-2022.527002017945,1923.931396484375
F2,561.6848762072623,-2055.467692900449,1905.6314697265625
F2,575.57552899234,-2080.470867906697,1894.4696044921875
F2,592.6411881223321,-2119.761571488343,1887.7467041015625
F2,605.3412135187536,-2159.4491508631036,1876.841796875
F2,614.8662325721234,-2194.7710965080187,1861.23291015625
F2,629.5506369378418,-2227.314911593683,1848.744140625
F2,644.6319171022624,-2271.3681247029454,1848.12060546875
F2,656.1413151230663,-2314.6275862194598,1864.0340576171875
F2,674.3976016324013,-2334.4713759059086,1880.0694580078125
F2,694.6382671147585,-2357.8870477396995,1878.197021484375
F2,707.3382925149053,-2390.0339870322496,1881.3736572265625
F2,720.0383179150522,-2426.149684265256,1901.0201416015625
F2,727.5789579972625,-2459.8841267339885,1918.79150390625
F2,744.6446171272546,-2490.4435628512874,1938.146240234375
F2,764.8852826096117,-2535.6874033398926,1936.294677734375
F7,-1119.2681181337684,3931.5858389511704,2112.8671875
F7,-1107.7063542827964,3923.1871536793187,2130.126708984375
F7,-1105.3912454862148,3920.67360698618,2140.9765625
F7,-1092.8896579816937,3906.9813921004534,2213.46533203125
F7,-1079.9911946821958,3893.156885285862,2241.570068359375
F7,-1064.7776225917041,3875.8927882565185,2263.40576171875
F7,-1048.2411311846226,3858.5625452632084,2296.8173828125
F7,-1033.6228727810085,3842.2906377185136,2327.036865234375
F7,-1010.0087630543858,3816.162981297821,2346.64501953125
F7,-1002.6004149038345,3808.1593194566667,2352.693359375
F7,-998.7639488968998,3802.933788171038,2356.16064453125
F7,-986.4607992898673,3784.5452097291127,2375.044677734375
F7,-974.819109339267,3766.2889232160524,2386.8701171875
F7,-965.889403982088,3754.118065540679,2382.57177734375
F7,-949.154474677518,3731.893021089956,2363.506103515625
F7,-929.7075607813895,3708.0143275000155,2340.578857421875
F7,-912.1788798943162,3687.310640259646,2316.279541015625
