public_point_id,section_public_id,zone,expected_associated_fault,nearest_competing_fault,d_plan_associated_m,d_plan_competing_m,dsi,dsi_lt_1,dsi_gt_2,local_competitor_flag
PT_0001,SEC_005,MZ-I,F2,F3,222.50852116060275,60.315262387774204,0.2710694497144211,True,False,F3_LOCALLY_CLOSER_IN_PLAN_VIEW
PT_0002,SEC_005,MZ-I,F2,F3,215.6797457805897,67.14576115047589,0.311321588902386,True,False,F3_LOCALLY_CLOSER_IN_PLAN_VIEW
PT_0003,SEC_005,MZ-I,F2,F3,208.39142214645287,74.43592879320768,0.3571928634418347,True,False,F3_LOCALLY_CLOSER_IN_PLAN_VIEW
PT_0004,SEC_005,MZ-I,F2,F3,203.4702898518087,79.35876265341406,0.390026291854268,True,False,F3_LOCALLY_CLOSER_IN_PLAN_VIEW
PT_0005,SEC_004,MZ-I,F2,F3,139.07511267175707,358.1859389260932,2.5754855203423643,False,True,NONE
PT_0006,SEC_004,MZ-I,F2,F3,113.58306756985304,383.387469378743,3.3753928079373408,False,True,NONE
PT_0007,SEC_006,MZ-I,F2,F3,47.19742638241807,237.7702337486193,5.037779641247413,False,True,NONE
PT_0008,SEC_003,MZ-I,F2,F3,101.80210092368546,563.4164185207812,5.534428203433037,False,True,NONE
PT_0009,SEC_003,MZ-I,F2,F3,101.24585110144484,562.8734541785667,5.559471801116937,False,True,NONE
PT_0010,SEC_004,MZ-I,F2,F3,108.7774122869552,605.2723656490004,5.5643203209531205,False,True,NONE
PT_0011,SEC_006,MZ-I,F2,F3,41.5284514378834,232.11689141287908,5.589346180174098,False,True,NONE
PT_0012,SEC_004,MZ-I,F2,F3,106.88263471713292,603.374074186602,5.645202102132342,False,True,NONE
PT_0013,SEC_003,MZ-I,F2,F3,98.19774596464929,559.8981534581098,5.701741399030387,False,True,NONE
PT_0014,SEC_003,MZ-I,F2,F3,96.77699684855752,558.5113388150328,5.771116659974735,False,True,NONE
PT_0015,SEC_003,MZ-I,F2,F3,96.20515896389158,557.9531595052476,5.799617874075367,False,True,NONE
PT_0016,SEC_006,MZ-I,F2,F3,39.35735754626016,229.9520258276668,5.842669329549982,False,True,NONE
PT_0017,SEC_004,MZ-I,F2,F3,97.4989718265128,593.9748942496376,6.092114441027556,False,True,NONE
PT_0018,SEC_004,MZ-I,F2,F3,95.69441953887606,592.1677254981453,6.188111368997602,False,True,NONE
