x,y,z,zone,assigned_fault,in_polygon_flag
4893.340330,444.517910,1824.478299,MZ-II,F7,True
4893.142615,446.100750,1813.031413,MZ-II,F7,True
4892.281140,452.997450,1786.113886,MZ-II,F7,True
4891.702116,457.632930,1769.463869,MZ-II,F7,True
4890.868886,464.303500,1754.964480,MZ-II,F7,False
4888.192665,485.728470,1718.126318,MZ-II,F7,False
4887.719560,489.515990,1712.298812,MZ-II,F7,False
4884.923298,511.901980,1682.536908,MZ-II,F7,False
4883.207409,525.638830,1668.592519,MZ-II,F7,False
4881.413847,539.997520,1651.873127,MZ-II,F7,False
4880.022777,551.133980,1640.634366,MZ-II,F7,False
4878.892974,560.178820,1629.603730,MZ-II,F7,False
4878.688197,561.818200,1628.077478,MZ-II,F7,False
4878.772932,561.139840,1627.383727,MZ-II,F7,False
4880.015716,551.190510,1637.789988,MZ-II,F7,False
4881.223193,541.523840,1647.710623,MZ-II,F7,False
4883.242716,525.356180,1666.372516,MZ-II,F7,False
4884.492560,515.350320,1677.195027,MZ-II,F7,False
4885.092768,510.545250,1682.536908,MZ-II,F7,False
4887.069923,494.716780,1702.794428,MZ-II,F7,False
4887.980827,487.424380,1712.021312,MZ-II,F7,False
4888.856424,480.414620,1722.011322,MZ-II,F7,False
4891.024234,463.059830,1753.785104,MZ-II,F7,False
4891.334930,460.572500,1759.890110,MZ-II,F7,False
4892.041057,454.919470,1771.683872,MZ-II,F7,True
4893.333269,444.574440,1813.031413,MZ-II,F7,True
4893.516862,443.104650,1824.963925,MZ-II,F7,True
4886.575635,498.673900,1714.657565,MZ-II,F7,False
4882.981449,527.447800,1682.190032,MZ-II,F7,False
4878.681136,561.874730,1643.617494,MZ-II,F7,False
4878.808239,560.857190,1642.854368,MZ-II,F7,False
4883.009694,527.221680,1680.455655,MZ-II,F7,False
4886.695676,497.712880,1713.825064,MZ-II,F7,False
4894.554869,434.794700,1828.016428,MZ-II,F7,True
4894.237111,437.338560,1816.847042,MZ-II,F7,True
4893.523923,443.048120,1793.120768,MZ-II,F7,True
4893.220289,445.478920,1783.061383,MZ-II,F7,True
4892.316446,452.714790,1760.514486,MZ-II,F7,True
4890.890070,464.133910,1736.580087,MZ-II,F7,False
4889.371897,476.287910,1712.923188,MZ-II,F7,False
4888.559851,482.788890,1700.990676,MZ-II,F7,False
4886.836902,496.582280,1681.496281,MZ-II,F7,False
4884.619663,514.332780,1660.753136,MZ-II,F7,False
4883.511044,523.208030,1650.832501,MZ-II,F7,False
4881.865768,536.379580,1636.818737,MZ-II,F7,False
4880.637107,546.215850,1626.481851,MZ-II,F7,False
4879.507304,555.260690,1616.144966,MZ-II,F7,False
4879.549672,554.921510,1614.757465,MZ-II,F7,False
4880.707720,545.650550,1624.053724,MZ-II,F7,False
4882.183525,533.835720,1637.373737,MZ-II,F7,False
4883.539289,522.981910,1648.681874,MZ-II,F7,False
4884.852685,512.467280,1659.990010,MZ-II,F7,False
4886.067223,502.744080,1670.673771,MZ-II,F7,False
4887.698376,489.685590,1686.283161,MZ-II,F7,False
4888.898792,480.075440,1701.060051,MZ-II,F7,False
4890.649987,466.055940,1726.312576,MZ-II,F7,False
4892.443549,451.697250,1756.837607,MZ-II,F7,True
4893.919354,439.882420,1793.883894,MZ-II,F7,True
4894.406582,435.981840,1816.430791,MZ-II,F7,True
4894.731400,433.381440,1828.432678,MZ-II,F7,True
4898.043135,406.868750,1837.867688,MZ-II,F7,True
4896.842720,416.478900,1817.748918,MZ-II,F7,True
4896.200144,421.623150,1805.469530,MZ-II,F7,True
4895.388098,428.124130,1787.987013,MZ-II,F7,True
4893.806374,440.786910,1758.433233,MZ-II,F7,True
4892.549468,450.849300,1734.706960,MZ-II,F7,True
4890.981866,463.399010,1707.373182,MZ-II,F7,False
4888.644586,482.110530,1673.240648,MZ-II,F7,False
4886.660370,497.995530,1645.074370,MZ-II,F7,False
4885.297545,508.905870,1626.134976,MZ-II,F7,False
4884.181864,517.837660,1612.814963,MZ-II,F7,False
4882.564834,530.783090,1598.038073,MZ-II,F7,False
4881.096090,542.541380,1585.203685,MZ-II,F7,False
4879.733265,553.451720,1572.230547,MZ-II,F7,False
4880.149880,550.116440,1568.345543,MZ-II,F7,False
4882.197648,533.722660,1585.342435,MZ-II,F7,False
4884.344274,516.537460,1603.102453,MZ-II,F7,False
4885.184565,509.810360,1612.329337,MZ-II,F7,False
4886.716860,497.543290,1633.488733,MZ-II,F7,False
4888.559851,482.788890,1657.423132,MZ-II,F7,False
4890.755906,465.207980,1688.433788,MZ-II,F7,False
4892.683632,449.775220,1722.774448,MZ-II,F7,True
4893.538046,442.935060,1743.309468,MZ-II,F7,True
4894.837319,432.533490,1769.671995,MZ-II,F7,True
4896.306063,420.775200,1799.295149,MZ-II,F7,True
4897.153416,413.991560,1814.349539,MZ-II,F7,True
4898.029013,406.981810,1826.073926,MZ-II,F7,True
4899.285919,396.919430,1842.099567,MZ-II,F7,True
4899.342409,396.467180,1844.527695,MZ-II,F7,True
4907.484052,331.287790,1863.397713,MZ-II,F7,True
4906.876783,336.149390,1850.147075,MZ-II,F7,True
4907.074498,334.566550,1849.522700,MZ-II,F7,True
4907.717074,329.422290,1863.675214,MZ-II,F7,True
4913.938052,279.619130,1882.683983,MZ-II,F7,True
4913.316660,284.593790,1873.248973,MZ-II,F7,True
4913.486131,283.237070,1872.138972,MZ-II,F7,True
4914.192257,277.584040,1883.516484,MZ-II,F7,True
4651.212244,378.715770,1804.008182,MZ-II,F7,True
4651.215502,401.903810,1762.401678,MZ-II,F7,True
4651.219135,427.769600,1723.824773,MZ-II,F7,True
4651.223210,456.774930,1686.055762,MZ-II,F7,True
4651.227726,488.914180,1645.156164,MZ-II,F7,True
4651.234409,536.484700,1584.463181,MZ-II,F7,True
4651.240521,579.994850,1529.324464,MZ-II,F7,False
4651.243880,603.903460,1503.976812,MZ-II,F7,False
4651.245385,614.614770,1516.297184,MZ-II,F7,False
4651.242842,596.515400,1539.827076,MZ-II,F7,False
4651.241228,585.028840,1554.470142,MZ-II,F7,False
4651.237821,560.773670,1581.332594,MZ-II,F7,False
4651.231495,515.744820,1631.119018,MZ-II,F7,True
4651.225740,474.777490,1676.159069,MZ-II,F7,True
4651.218014,419.786250,1749.778345,MZ-II,F7,True
4651.213485,387.546300,1801.584502,MZ-II,F7,True
4651.215264,400.215650,1801.281542,MZ-II,F7,True
4651.216666,410.191560,1786.941436,MZ-II,F7,True
4651.219077,427.351840,1756.948398,MZ-II,F7,True
4651.222319,450.426950,1717.664587,MZ-II,F7,True
4651.224046,462.719530,1697.669228,MZ-II,F7,True
4651.225317,471.771310,1687.368588,MZ-II,F7,True
4651.228661,495.570880,1667.070270,MZ-II,F7,True
4651.227731,488.955040,1673.836376,MZ-II,F7,True
4651.224374,465.056920,1706.556054,MZ-II,F7,True
4651.220871,440.123470,1746.849732,MZ-II,F7,True
4651.218378,422.380000,1775.428957,MZ-II,F7,True
4651.216831,411.363130,1793.404583,MZ-II,F7,True
4651.215934,404.981920,1801.685489,MZ-II,F7,True
4651.218513,423.341820,1797.847996,MZ-II,F7,True
4651.221299,443.169790,1763.815491,MZ-II,F7,True
4651.225617,473.902840,1714.937947,MZ-II,F7,True
4651.227768,489.216280,1694.033708,MZ-II,F7,True
4651.230703,510.104760,1670.099869,MZ-II,F7,True
4651.228715,495.956420,1692.922855,MZ-II,F7,True
4651.225082,470.093940,1733.822453,MZ-II,F7,True
4651.221317,443.300700,1774.116130,MZ-II,F7,True
4651.219411,429.732530,1796.232209,MZ-II,F7,True
4651.234373,536.230500,1569.214195,MZ-II,F7,True
4651.240324,578.590520,1522.659344,MZ-II,F7,False
4651.243128,598.551840,1500.644252,MZ-II,F7,False
4651.243292,599.715780,1501.755105,MZ-II,F7,False
4651.240373,578.942250,1524.780064,MZ-II,F7,False
4651.234585,537.743740,1570.728995,MZ-II,F7,True
2223.104623,549.004300,1822.755786,MZ-I,F2,True
2226.248113,558.961050,1813.193258,MZ-I,F2,True
2226.900710,561.028090,1813.098579,MZ-I,F2,True
2223.539635,550.382170,1823.039822,MZ-I,F2,True
2236.205156,590.499170,1819.063325,MZ-I,F2,True
2241.407074,606.975820,1782.706781,MZ-I,F2,True
2245.350766,619.467150,1755.723409,MZ-I,F2,True
2250.213870,634.870630,1722.301898,MZ-I,F2,True
2251.568774,639.162180,1712.928727,MZ-I,F2,True
2256.359255,654.335640,1680.264645,MZ-I,F2,False
2251.737424,639.696360,1716.526510,MZ-I,F2,True
2245.518441,619.998240,1765.854008,MZ-I,F2,True
2241.162760,606.201980,1800.222303,MZ-I,F2,True
2239.348095,600.454170,1813.193258,MZ-I,F2,True
2242.998696,612.017160,1806.660441,MZ-I,F2,True
2244.910338,618.072120,1791.701239,MZ-I,F2,True
2250.040496,634.321480,1750.326734,MZ-I,F2,True
2250.644625,636.235010,1751.084162,MZ-I,F2,True
2245.296996,619.296830,1792.079953,MZ-I,F2,True
2243.385525,613.242400,1805.903013,MZ-I,F2,True
2279.141615,726.496910,1745.024738,MZ-I,F2,False
2281.560127,734.157350,1734.704782,MZ-I,F2,False
2282.937800,738.521010,1734.704782,MZ-I,F2,False
2280.374341,730.401460,1744.551346,MZ-I,F2,False
2547.150189,311.413300,1735.897145,MZ-I,F2,True
2559.205100,334.177010,1736.588156,MZ-I,F2,True
2588.316429,389.148960,1737.133691,MZ-I,F2,True
2591.180539,394.557360,1736.951846,MZ-I,F2,True
2609.091915,428.380030,1733.860480,MZ-I,F2,True
2616.872035,443.071510,1722.658825,MZ-I,F2,True
2620.505608,449.932910,1716.076034,MZ-I,F2,True
2627.131535,462.444880,1705.492652,MZ-I,F2,True
2637.134546,481.333910,1690.544988,MZ-I,F2,True
2643.931465,494.168770,1680.507141,MZ-I,F2,True
2654.062720,513.299980,1665.595847,MZ-I,F2,True
2658.252016,521.210770,1656.321749,MZ-I,F2,True
2663.552757,531.220350,1644.283606,MZ-I,F2,True
2664.450463,532.915520,1644.792772,MZ-I,F2,True
2659.106974,522.825220,1657.230974,MZ-I,F2,True
2654.532947,514.187920,1668.068939,MZ-I,F2,True
2639.742169,486.257980,1692.217963,MZ-I,F2,True
2630.893351,469.548450,1705.747235,MZ-I,F2,True
2621.959037,452.677470,1723.167991,MZ-I,F2,True
2617.983481,445.170290,1731.096435,MZ-I,F2,True
2685.054957,571.823700,1721.895076,MZ-I,F2,False
2693.690036,588.129620,1721.931445,MZ-I,F2,False
1389.435146,527.975390,1939.627264,MZ-I,F2,True
1384.270131,514.814280,1908.320611,MZ-I,F2,True
1379.004895,501.397790,1877.578516,MZ-I,F2,False
1376.284772,494.466570,1862.171796,MZ-I,F2,False
1372.416757,484.610380,1840.121915,MZ-I,F2,False
1370.395431,479.459790,1828.531641,MZ-I,F2,False
1370.845822,480.607440,1827.686045,MZ-I,F2,False
1373.191766,486.585200,1840.548846,MZ-I,F2,False
1375.961950,493.643980,1855.814530,MZ-I,F2,False
1379.331134,502.229090,1874.260655,MZ-I,F2,False
1382.500776,510.305730,1891.293526,MZ-I,F2,False
1386.768573,521.180620,1914.192517,MZ-I,F2,True
1391.235639,532.563270,1939.281597,MZ-I,F2,True
475.002370,1217.434350,1842.229018,MZ-I,F2,False
477.282830,1223.792720,1827.771983,MZ-I,F2,False
477.864580,1225.414750,1828.275812,MZ-I,F2,False
475.793550,1219.640320,1842.232421,MZ-I,F2,False
223.969886,1167.866750,1830.929234,MZ-I,F2,False
220.302876,1157.643530,1788.904872,MZ-I,F2,False
216.106185,1145.943620,1750.802784,MZ-I,F2,False
210.931626,1131.517520,1703.361949,MZ-I,F2,False
211.053859,1131.858300,1703.175174,MZ-I,F2,False
217.613734,1150.146500,1760.141531,MZ-I,F2,False
220.465854,1158.097900,1784.982599,MZ-I,F2,False
222.666060,1164.231830,1804.407193,MZ-I,F2,False
226.781261,1175.704550,1832.796984,MZ-I,F2,False
247.927691,1234.658460,1823.271462,MZ-I,F2,True
246.501631,1230.682760,1802.726218,MZ-I,F2,True
236.600702,1203.080070,1760.701856,MZ-I,F2,False
229.348169,1182.860810,1724.280742,MZ-I,F2,False
225.110734,1171.047310,1703.175174,MZ-I,F2,False
217.532245,1149.919320,1666.754060,MZ-I,F2,False
211.624283,1133.448580,1638.551044,MZ-I,F2,False
212.357685,1135.493220,1636.683295,MZ-I,F2,False
220.180642,1157.302760,1674.598608,MZ-I,F2,False
225.395946,1171.842450,1697.945476,MZ-I,F2,False
237.456338,1205.465480,1753.977958,MZ-I,F2,False
