scheme,metric,probability_bin,n,mean_predicted_probability,observed_reversal_fraction
competing_fault_count_family,DSI_2D,"(-0.001, 0.1]",1163,0.02370677382981833,0.0885640584694755
competing_fault_count_family,DSI_2D,"(0.1, 0.2]",235,0.1492349694439826,0.2723404255319149
competing_fault_count_family,DSI_2D,"(0.2, 0.3]",212,0.2544990030129135,0.2971698113207547
competing_fault_count_family,DSI_2D,"(0.3, 0.4]",281,0.35483518400860614,0.3167259786476868
competing_fault_count_family,DSI_2D,"(0.4, 0.5]",505,0.46186492497890563,0.1900990099009901
competing_fault_count_family,DSI_2D,"(0.5, 0.6]",462,0.546004277065171,0.3246753246753247
competing_fault_count_family,DSI_2D,"(0.6, 0.7]",496,0.6554618602734843,0.5342741935483871
competing_fault_count_family,DSI_2D,"(0.7, 0.8]",1458,0.7630767817891968,0.5651577503429356
competing_fault_count_family,DSI_2D,"(0.8, 0.9]",10749,0.8690442858709634,0.8943157503023537
competing_fault_count_family,DSI_2D,"(0.9, 1.0]",2439,0.9283010935901893,1.0
competing_fault_count_family,DSI_3D,"(-0.001, 0.1]",1163,0.02370677382981833,0.0885640584694755
competing_fault_count_family,DSI_3D,"(0.1, 0.2]",235,0.1492349694439826,0.2723404255319149
competing_fault_count_family,DSI_3D,"(0.2, 0.3]",212,0.2544990030129135,0.2971698113207547
competing_fault_count_family,DSI_3D,"(0.3, 0.4]",281,0.35483518400860614,0.3167259786476868
competing_fault_count_family,DSI_3D,"(0.4, 0.5]",505,0.46186492497890563,0.1900990099009901
competing_fault_count_family,DSI_3D,"(0.5, 0.6]",462,0.546004277065171,0.3246753246753247
competing_fault_count_family,DSI_3D,"(0.6, 0.7]",496,0.6554618602734843,0.5342741935483871
competing_fault_count_family,DSI_3D,"(0.7, 0.8]",1458,0.7630767817891968,0.5651577503429356
competing_fault_count_family,DSI_3D,"(0.8, 0.9]",10749,0.8690442858709634,0.8943157503023537
competing_fault_count_family,DSI_3D,"(0.9, 1.0]",2439,0.9283010935901893,1.0
competing_fault_count_family,distance_diff_2D,"(-0.001, 0.1]",2769,0.01048315782364685,0.030697002527988442
competing_fault_count_family,distance_diff_2D,"(0.1, 0.2]",185,0.15135928832739962,0.21621621621621623
competing_fault_count_family,distance_diff_2D,"(0.2, 0.3]",412,0.25496496827908327,0.3131067961165049
competing_fault_count_family,distance_diff_2D,"(0.3, 0.4]",383,0.35334463616551887,0.35509138381201044
competing_fault_count_family,distance_diff_2D,"(0.4, 0.5]",218,0.4477332620680538,0.39908256880733944
competing_fault_count_family,distance_diff_2D,"(0.5, 0.6]",408,0.5446874708577095,0.4362745098039216
competing_fault_count_family,distance_diff_2D,"(0.6, 0.7]",239,0.6520379726448305,0.5899581589958159
competing_fault_count_family,distance_diff_2D,"(0.7, 0.8]",458,0.7609226632868765,0.6375545851528385
competing_fault_count_family,distance_diff_2D,"(0.8, 0.9]",972,0.8543532271553906,0.7674897119341564
competing_fault_count_family,distance_diff_2D,"(0.9, 1.0]",11956,0.9821663420147679,0.9929742388758782
competing_fault_count_family,distance_diff_3D,"(-0.001, 0.1]",2769,0.01048315782364685,0.030697002527988442
competing_fault_count_family,distance_diff_3D,"(0.1, 0.2]",185,0.15135928832739962,0.21621621621621623
competing_fault_count_family,distance_diff_3D,"(0.2, 0.3]",412,0.25496496827908327,0.3131067961165049
competing_fault_count_family,distance_diff_3D,"(0.3, 0.4]",383,0.35334463616551887,0.35509138381201044
competing_fault_count_family,distance_diff_3D,"(0.4, 0.5]",218,0.4477332620680538,0.39908256880733944
competing_fault_count_family,distance_diff_3D,"(0.5, 0.6]",408,0.5446874708577095,0.4362745098039216
competing_fault_count_family,distance_diff_3D,"(0.6, 0.7]",239,0.6520379726448305,0.5899581589958159
competing_fault_count_family,distance_diff_3D,"(0.7, 0.8]",458,0.7609226632868765,0.6375545851528385
competing_fault_count_family,distance_diff_3D,"(0.8, 0.9]",972,0.8543532271553906,0.7674897119341564
competing_fault_count_family,distance_diff_3D,"(0.9, 1.0]",11956,0.9821663420147679,0.9929742388758782
competing_fault_count_family,normalized_margin_2D,"(0.1, 0.2]",797,0.16305345149092906,0.23337515683814303
competing_fault_count_family,normalized_margin_2D,"(0.2, 0.3]",1589,0.24546541839162303,0.2252989301447451
competing_fault_count_family,normalized_margin_2D,"(0.3, 0.4]",1128,0.33899009307208317,0.32890070921985815
competing_fault_count_family,normalized_margin_2D,"(0.4, 0.5]",1061,0.46434092047437614,0.3892554194156456
competing_fault_count_family,normalized_margin_2D,"(0.5, 0.6]",613,0.538878305985603,0.5954323001631321
competing_fault_count_family,normalized_margin_2D,"(0.6, 0.7]",470,0.6528494620134683,0.825531914893617
competing_fault_count_family,normalized_margin_2D,"(0.7, 0.8]",1011,0.7689996170957752,0.5806132542037586
competing_fault_count_family,normalized_margin_2D,"(0.8, 0.9]",1047,0.8387171833734477,0.7488061127029608
competing_fault_count_family,normalized_margin_2D,"(0.9, 1.0]",10284,0.9927829915252369,0.9970828471411902
competing_fault_count_family,normalized_margin_3D,"(0.1, 0.2]",797,0.16305345149092906,0.23337515683814303
competing_fault_count_family,normalized_margin_3D,"(0.2, 0.3]",1589,0.24546541839162303,0.2252989301447451
