scheme,heldout_value,metric,n_test,roc_auc,pr_auc,brier_score
fault_spacing_family,100,DSI_2D,3600,,1.0000000000000007,0.023597481504250825
fault_spacing_family,1600,DSI_2D,3600,0.8871029792134955,0.8636267452073823,0.28125788972154525
fault_spacing_family,200,DSI_2D,3600,0.9342545109211776,0.9982515036936719,0.04621438366713047
fault_spacing_family,400,DSI_2D,3600,0.9089233843122325,0.9864371387279242,0.09262841004150933
fault_spacing_family,800,DSI_2D,3600,0.9075555654993788,0.9510005981401064,0.16510034457765535
fault_spacing_family,100,DSI_3D,3600,,1.0000000000000007,0.023597481504250825
fault_spacing_family,1600,DSI_3D,3600,0.8871029792134955,0.8636267452073823,0.28125788972154525
fault_spacing_family,200,DSI_3D,3600,0.9342545109211776,0.9982515036936719,0.04621438366713047
fault_spacing_family,400,DSI_3D,3600,0.9089233843122325,0.9864371387279242,0.09262841004150933
fault_spacing_family,800,DSI_3D,3600,0.9075555654993788,0.9510005981401064,0.16510034457765535
fault_spacing_family,100,distance_diff_2D,3600,,1.0000000000000004,0.0005262736269260047
fault_spacing_family,1600,distance_diff_2D,3600,0.9681737000614226,0.9454791316787298,0.07082695200195928
fault_spacing_family,200,distance_diff_2D,3600,0.945872111427667,0.9985760056435351,0.021386735672847972
fault_spacing_family,400,distance_diff_2D,3600,0.9372014918436745,0.9909313295688329,0.06915129328435704
fault_spacing_family,800,distance_diff_2D,3600,0.9570196519193919,0.9761976078115742,0.08342450616994726
fault_spacing_family,100,distance_diff_3D,3600,,1.0000000000000004,0.0005262736269260047
fault_spacing_family,1600,distance_diff_3D,3600,0.9681737000614226,0.9454791316787298,0.07082695200195928
fault_spacing_family,200,distance_diff_3D,3600,0.945872111427667,0.9985760056435351,0.021386735672847972
fault_spacing_family,400,distance_diff_3D,3600,0.9372014918436745,0.9909313295688329,0.06915129328435704
fault_spacing_family,800,distance_diff_3D,3600,0.9570196519193919,0.9761976078115742,0.08342450616994726
fault_spacing_family,100,normalized_margin_2D,3600,,1.0000000000000007,0.017845728262288463
fault_spacing_family,1600,normalized_margin_2D,3600,0.8872077119221425,0.8636825053679508,0.20011826083568177
fault_spacing_family,200,normalized_margin_2D,3600,0.934681861348528,0.9982627672464073,0.05753239017839661
fault_spacing_family,400,normalized_margin_2D,3600,0.9090948210276427,0.9864626291977558,0.10100834782824857
fault_spacing_family,800,normalized_margin_2D,3600,0.9077266577523215,0.9510618919837985,0.12396090789991146
fault_spacing_family,100,normalized_margin_3D,3600,,1.0000000000000007,0.017845728262288463
fault_spacing_family,1600,normalized_margin_3D,3600,0.8872077119221425,0.8636825053679508,0.20011826083568177
fault_spacing_family,200,normalized_margin_3D,3600,0.934681861348528,0.9982627672464073,0.05753239017839661
fault_spacing_family,400,normalized_margin_3D,3600,0.9090948210276427,0.9864626291977558,0.10100834782824857
fault_spacing_family,800,normalized_margin_3D,3600,0.9077266577523215,0.9510618919837985,0.12396090789991146
perturbation_family,extreme,DSI_2D,4500,0.9309041393057178,0.9887914315222068,0.09462706631055555
perturbation_family,high,DSI_2D,4500,0.9409893083483665,0.9845221727668083,0.09071226850359296
perturbation_family,low,DSI_2D,4500,0.964507122635283,0.9850667018816215,0.14488586240781243
perturbation_family,medium,DSI_2D,4500,0.9558959558959559,0.9839508287799846,0.1250942841628389
perturbation_family,extreme,DSI_3D,4500,0.9309041393057178,0.9887914315222068,0.09462706631055555
perturbation_family,high,DSI_3D,4500,0.9409893083483665,0.9845221727668083,0.09071226850359296
perturbation_family,low,DSI_3D,4500,0.964507122635283,0.9850667018816215,0.14488586240781243
