metric,bin,n,mean_probability,observed_fraction
DSI_2D,"(-0.001, 0.1]",39,0.04281914283038509,0.0
DSI_2D,"(0.1, 0.2]",55,0.15132444903614703,0.0
DSI_2D,"(0.2, 0.3]",55,0.24779186262504296,0.0
DSI_2D,"(0.3, 0.4]",86,0.3569558937341374,0.011627906976744186
DSI_2D,"(0.4, 0.5]",95,0.4470566881846996,0.0
DSI_2D,"(0.5, 0.6]",139,0.5490548509460753,0.02877697841726619
DSI_2D,"(0.6, 0.7]",278,0.6567448087682891,0.050359712230215826
DSI_2D,"(0.7, 0.8]",569,0.7580464493580216,0.14762741652021089
DSI_2D,"(0.8, 0.9]",1684,0.8607754988730824,0.6241092636579573
DSI_3D,"(-0.001, 0.1]",1053,0.01741532385450157,0.10731244064577398
DSI_3D,"(0.1, 0.2]",200,0.14638500924643746,0.2
DSI_3D,"(0.2, 0.3]",175,0.25222555254088935,0.21714285714285714
DSI_3D,"(0.3, 0.4]",176,0.347976312673465,0.25
DSI_3D,"(0.4, 0.5]",172,0.44968671922652265,0.27325581395348836
DSI_3D,"(0.5, 0.6]",209,0.5507028441314767,0.4019138755980861
DSI_3D,"(0.6, 0.7]",274,0.6519542687132871,0.5036496350364964
DSI_3D,"(0.7, 0.8]",375,0.7525613419983535,0.7626666666666667
DSI_3D,"(0.8, 0.9]",366,0.8372315590112881,0.994535519125683
distance_diff_2D,"(-0.001, 0.1]",880,0.016970977461199546,0.00909090909090909
distance_diff_2D,"(0.1, 0.2]",159,0.1501961504547211,0.10062893081761007
distance_diff_2D,"(0.2, 0.3]",106,0.24860405920512932,0.08490566037735849
distance_diff_2D,"(0.3, 0.4]",96,0.3506126434703509,0.07291666666666667
distance_diff_2D,"(0.4, 0.5]",106,0.4519210450993775,0.2830188679245283
distance_diff_2D,"(0.5, 0.6]",99,0.546772305361993,0.29292929292929293
distance_diff_2D,"(0.6, 0.7]",118,0.6539410727150166,0.3813559322033898
distance_diff_2D,"(0.7, 0.8]",147,0.752608515053538,0.3945578231292517
distance_diff_2D,"(0.8, 0.9]",280,0.8591754935590358,0.5107142857142857
distance_diff_2D,"(0.9, 1.0]",1009,0.9639435927329029,0.8017839444995044
distance_diff_3D,"(-0.001, 0.1]",1114,0.018886421653427517,0.02333931777378815
distance_diff_3D,"(0.1, 0.2]",212,0.14519825845194034,0.14622641509433962
distance_diff_3D,"(0.2, 0.3]",148,0.25130513191164494,0.30405405405405406
distance_diff_3D,"(0.3, 0.4]",136,0.35544440301752994,0.3602941176470588
distance_diff_3D,"(0.4, 0.5]",125,0.45461353341096855,0.376
distance_diff_3D,"(0.5, 0.6]",166,0.5503408145752821,0.4819277108433735
distance_diff_3D,"(0.6, 0.7]",172,0.6478332853489114,0.5813953488372093
distance_diff_3D,"(0.7, 0.8]",251,0.753351318854217,0.649402390438247
distance_diff_3D,"(0.8, 0.9]",335,0.8556216184884573,0.8328358208955224
distance_diff_3D,"(0.9, 1.0]",341,0.9339463610143186,0.9794721407624634
normalized_margin_2D,"(0.1, 0.2]",87,0.18479130102157715,0.0
normalized_margin_2D,"(0.2, 0.3]",394,0.24877669414767647,0.015228426395939087
normalized_margin_2D,"(0.3, 0.4]",392,0.3482747181160917,0.05612244897959184
normalized_margin_2D,"(0.4, 0.5]",313,0.44857581714884576,0.1757188498402556
normalized_margin_2D,"(0.5, 0.6]",262,0.5469947084328656,0.18702290076335878
normalized_margin_2D,"(0.6, 0.7]",232,0.6464623827883488,0.3448275862068966
normalized_margin_2D,"(0.7, 0.8]",253,0.7471546038125567,0.5098814229249012
normalized_margin_2D,"(0.8, 0.9]",269,0.8500033255490872,0.5576208178438662
normalized_margin_2D,"(0.9, 1.0]",798,0.9722239623416014,0.8308270676691729
normalized_margin_3D,"(0.1, 0.2]",1232,0.1630680798946009,0.12175324675324675
normalized_margin_3D,"(0.2, 0.3]",768,0.24201947025718443,0.2903645833333333
normalized_margin_3D,"(0.3, 0.4]",362,0.3442432758962513,0.5552486187845304
normalized_margin_3D,"(0.4, 0.5]",214,0.44626962099541273,0.7616822429906542
normalized_margin_3D,"(0.5, 0.6]",132,0.5499589011890286,0.946969696969697
normalized_margin_3D,"(0.6, 0.7]",101,0.649165037494044,1.0
normalized_margin_3D,"(0.7, 0.8]",97,0.7550059420739044,1.0
normalized_margin_3D,"(0.8, 0.9]",70,0.8440079326626518,1.0
normalized_margin_3D,"(0.9, 1.0]",24,0.9352833092874739,1.0
