fault,model_family,heldout_section,n_train,n_test,predictive_RMSE_m,predictive_MAE_m,predictive_median_absolute_deviation_m
F2,single_plane,XK00,125,7,416.1734538690999,360.67315325222444,291.70239467325155
F2,single_plane,XK03-1,126,6,672.1499024700054,654.3477297121426,647.6953496419592
F2,single_plane,XK04,102,30,838.6003347671723,833.2871526480575,810.9239599992288
F2,single_plane,XK11,125,7,284.38048790650896,279.3106139510637,268.4971412344603
F2,single_plane,XK15,115,17,439.6887065921171,433.91151693674925,457.89846653223503
F2,single_plane,XK19,126,6,354.796784433116,311.22972509422107,300.4075029657106
F2,single_plane,XKT03,87,45,706.1031602857518,680.2950049712788,675.7638441994786
F2,single_plane,xk23,118,14,767.4057179966968,728.3583856868956,775.6570138816023
F2,segmented_plane,XK00,125,7,247.9692960897054,211.11852899009162,250.48513888090383
F2,segmented_plane,XK03-1,126,6,419.9102034475514,386.3487923070982,362.5143594297115
F2,segmented_plane,XK04,102,30,665.2044538769183,659.7057770356691,612.5275351468008
F2,segmented_plane,XK11,125,7,745.6708644571236,703.4045574088481,796.1676302822307
F2,segmented_plane,XK15,115,17,597.4162525350501,593.388109526734,617.3251415216364
F2,segmented_plane,XK19,126,6,787.8125212415708,766.1020323996976,754.4007792256307
F2,segmented_plane,XKT03,87,45,353.6478776932018,308.774652328544,328.5012361307163
F2,segmented_plane,xk23,118,14,236.1669720427474,213.48352527926076,212.02398055401864
F2,quadratic_surface,XK00,125,7,274.9072475190805,230.96285097176275,183.74972229765262
F2,quadratic_surface,XK03-1,126,6,463.3182941233257,441.6200281002675,451.67194520222256
F2,quadratic_surface,XK04,102,30,786.0988286640516,781.0261996908656,779.427988797659
F2,quadratic_surface,XK11,125,7,430.8120358038281,387.9517722412046,430.2354699068237
F2,quadratic_surface,XK15,115,17,974.2627637434972,965.6767641318455,1025.2866853919113
F2,quadratic_surface,XK19,126,6,1136.9373484874625,1063.164953451429,1014.3014034157968
F2,quadratic_surface,XKT03,87,45,651.7958721518922,574.3431855719666,623.1065803123638
F2,quadratic_surface,xk23,118,14,874.5003424821163,778.582024925114,805.9641970220837
F2,trace_constrained_ruled,XK00,125,7,877.86785769438,794.1466849664492,1008.0959882505704
F2,trace_constrained_ruled,XK03-1,126,6,453.95496413420585,387.8422979269332,548.6668727898505
F2,trace_constrained_ruled,XK04,102,30,242.27708182480518,209.1035492279916,224.9667524798424
F2,trace_constrained_ruled,XK11,125,7,1001.6170684869097,931.2872446137314,1072.242041230551
F2,trace_constrained_ruled,XK15,115,17,445.52909782289305,437.5903274950859,442.9226459141355
F2,trace_constrained_ruled,XK19,126,6,510.8661992393795,510.7020427774405,514.7827775891055
F2,trace_constrained_ruled,XKT03,87,45,1174.297660171545,1158.0310556052382,1222.7555958676385
F2,trace_constrained_ruled,xk23,118,14,250.64634216942835,221.40153956302674,225.38795733766165
F7,single_plane,K00,20,43,117.94993186847815,106.33828115175467,86.78799449466169
F7,single_plane,K07,54,9,50.381655244887526,44.37147879719527,46.77430780825671
F7,single_plane,K15,52,11,263.9730129332756,263.1568724079989,265.01019864715636
F7,segmented_plane,K00,20,43,140.42655659610068,113.29444292881038,91.40575387317222
F7,segmented_plane,K07,54,9,88.17293295896069,76.00322158284123,78.07947577023879
F7,segmented_plane,K15,52,11,202.11794495593293,197.70264438886872,201.43194867495913
F7,quadratic_surface,K00,20,43,393.2660349055525,339.20676201901694,276.0015860889107
F7,quadratic_surface,K07,54,9,135.88999605626552,103.5494191062947,56.52000583242625
F7,quadratic_surface,K15,52,11,85.6834985955504,76.26345258228353,79.5973946127342
F7,trace_constrained_ruled,K00,20,43,416.28525040363456,339.5212536296905,306.2694078008644
F7,trace_constrained_ruled,K07,54,9,441.3194717468444,412.2858753803238,435.9486848798115
F7,trace_constrained_ruled,K15,52,11,270.56654714364487,268.2336042640646,265.26002818346024
