fault,depth_below_trace_m,Y_m,top_elevation_m,admissible_model_count,admissible_models,x_min_m,x_median_m,x_max_m,x_spread_m,x_single_plane_m,x_segmented_plane_m,x_quadratic_surface_m,x_trace_constrained_ruled_m
F2,100.0,-389.3249599998817,1765.7628173828125,2,single_plane;segmented_plane,-299.77033001591917,-49.85737526905723,200.0555794778047,499.8259094937239,200.0555794778047,-299.77033001591917,,
F2,100.0,-379.7110560834408,1765.7628173828125,2,single_plane;segmented_plane,-297.6512358201435,-59.40712316182908,178.83698949648533,476.4882253166288,178.83698949648533,-297.6512358201435,,
F2,100.0,-370.0971521669999,1765.7628173828125,2,single_plane;segmented_plane,-295.5321416243678,-68.95687105460092,157.61839951516595,453.15054113953374,157.61839951516595,-295.5321416243678,,
F2,100.0,-360.48324824962765,1765.7628173828125,2,single_plane;segmented_plane,-293.4130474284757,-78.50661894842051,136.3998095317511,429.8128569602268,136.3998095317511,-293.4130474284757,,
F2,100.0,-350.86934433318675,1765.7628173828125,2,single_plane;segmented_plane,-291.2939532327,-88.05636684107594,115.1812195504317,406.4751727831317,115.1812195504317,-291.2939532327,,
F2,100.0,-341.25544041674584,1765.7628173828125,2,single_plane;segmented_plane,-289.1748590369243,-97.6061147339642,93.96262956911232,383.13748860603664,93.96262956911232,-289.1748590369243,,
F2,100.0,-331.64153650030494,1765.7628173828125,2,single_plane;segmented_plane,-287.05576484114863,-107.15586262673605,72.74403958767653,359.79980442882515,72.74403958767653,-287.05576484114863,,
F2,100.0,-322.0276325829327,1765.7628173828125,2,single_plane;segmented_plane,-284.9366706452565,-116.70561052043922,51.52544960437808,336.4621202496346,51.52544960437808,-284.9366706452565,,
F2,100.0,-312.4137286664918,1765.7628173828125,2,single_plane;segmented_plane,-282.81757644948084,-126.25535841332749,30.306859622942284,313.1244360724231,30.306859622942284,-282.81757644948084,,
F2,100.0,-302.7998247500509,1765.7628173828125,2,single_plane;segmented_plane,-280.69848225370515,-135.80510630598292,9.088269641622901,289.78675189532805,9.088269641622901,-280.69848225370515,,
F2,100.0,-293.18592083361,1765.7628173828125,2,single_plane;segmented_plane,-278.57938805792946,-145.35485419887118,-12.130320339696482,266.449067718233,-12.130320339696482,-278.57938805792946,,
F2,100.0,-283.57201691623777,1765.7628173828125,2,single_plane;segmented_plane,-276.46029386203736,-154.90460209257435,-33.34891032311134,243.111383538926,-33.34891032311134,-276.46029386203736,,
F2,100.0,-273.95811299979687,1765.7628173828125,2,single_plane;segmented_plane,-274.3411996662617,-164.4543499853462,-54.56750030443072,219.77369936183092,-54.56750030443072,-274.3411996662617,,
F2,100.0,-264.34420908335596,1765.7628173828125,2,single_plane;segmented_plane,-272.222105470486,-174.00409787811805,-75.7860902857501,196.43601518473588,-75.7860902857501,-272.222105470486,,
F2,100.0,-254.73030516691506,1765.7628173828125,2,single_plane;segmented_plane,-270.1030112748267,-183.5538457708899,-97.00468026706949,173.09833100775722,-97.00468026706949,-270.1030112748267,,
