fault,section,x,y,z
F_left,S0,-3.736161220109081,-2.362663500077907,-21.009994630401486
F_left,S0,-5.295025804014274,8.946013395396937,-52.215684284404105
F_left,S0,-7.057478523035398,-5.882972731721448,-82.98167559172079
F_left,S0,-13.005286378318194,2.414531256448499,-128.9425150861849
F_left,S0,-2.6066911940125688,-2.73095189217826,-146.64174812189768
F_left,S0,-4.088664127634291,2.1913146056822788,-180.45602894948735
F_left,S0,-5.214707932083811,3.6794793404079806,-212.34816844891705
F_left,S0,-14.431171884125186,10.015429739618973,-226.1803547319575
F_left,S0,7.03977265503753,-4.370583021440841,-267.28873112325743
F_left,S0,-7.588809583643319,-2.496098324287023,-299.1550786466021
F_left,S0,-1.203057307557699,3.069279512101545,-323.6648044146211
F_left,S0,-19.023127731894018,-8.089382236179766,-364.1903987411468
F_left,S1,2.8395215406848937,183.1691688928584,-30.024544236001454
F_left,S1,0.11993762009927997,186.43689270145302,-64.24935711420446
F_left,S1,8.613022215509694,179.22526761354388,-97.72532296568
F_left,S1,7.862609649461601,179.22131785931668,-121.51004844960863
F_left,S1,-3.5075465437848496,179.95318682071323,-143.22211249910902
F_left,S1,-3.443045790206186,176.850334233952,-187.84507863964737
F_left,S1,7.207934762662296,188.26038636820593,-211.99665755130658
F_left,S1,0.8011485750062154,182.32202924931798,-245.38125416586482
F_left,S1,4.484216453490559,177.72655451929128,-268.59237333659837
F_left,S1,10.836055969967036,177.3402477433401,-295.8515547297967
F_left,S1,2.5582799730098205,179.34044972409902,-319.15262310157397
F_left,S1,2.043312725594185,186.08800874489668,-354.9146703689366
F_left,S2,8.525229369488004,353.9103994799874,-15.96699821419063
F_left,S2,10.173067155889273,359.8538298961545,-59.234577929435126
F_left,S2,-14.698344058225574,355.35583812221785,-89.57076397446602
F_left,S2,-4.075103862189512,362.1125129122681,-119.10772394180796
F_left,S2,-2.0625127734850324,358.04336883623523,-148.0839593451549
F_left,S2,3.8531015162144957,366.3168757756198,-172.32519735611322
F_left,S2,-6.681179454283654,358.94113999960615,-207.2749750299784
F_left,S2,-6.0255889978717345,366.0603738062485,-229.66437035766248
F_left,S2,9.74047414765323,354.89044449073475,-263.0900360200414
F_left,S2,2.7484543464842384,357.02271251833326,-303.26108308412614
F_left,S2,2.992112608624342,357.7584927380975,-327.29503051482453
F_left,S2,-3.127996190333465,353.1259038671559,-353.4280409757396
F_left,S3,-3.478089385293729,536.850510705462,-37.384671804994625
F_left,S3,-5.3178315819578605,530.0217651039214,-55.1162830480982
F_left,S3,0.2689743043410984,542.2201480315459,-89.89355804178656
F_left,S3,6.209659055466077,536.4229676893309,-128.3030064133073
F_left,S3,-8.35652135350417,547.5306301976805,-157.8026820591346
F_left,S3,-1.8657497831092984,540.5375286254159,-177.45660040242598
F_left,S3,-0.23592134395229333,542.1804536577108,-226.2114169749962
F_left,S3,-2.3584342764682704,544.9740224573369,-238.73630322396912
F_left,S3,-0.26034445822500096,541.773921633498,-256.87047215050455
F_left,S3,-12.526171185004115,541.7186532756273,-298.31491707416006
F_left,S3,1.8004427197400796,537.9925444395222,-320.9742646834561
F_left,S3,-21.197487326277464,534.3701145198305,-354.29999207694954
F_left,S4,-5.05585313981865,728.1781678536252,-35.69696168520907
F_left,S4,-9.47737833617785,715.7200126016279,-50.7382655468794
F_left,S4,-16.494584362447764,714.632770337088,-80.80694321576763
F_left,S4,8.640646957242986,729.2478662647037,-119.48981788679411
F_left,S4,-5.4702343369801,723.2240931263098,-141.2148346483621
F_left,S4,11.388620795131601,715.8842544431175,-177.3175806650394
F_left,S4,-0.12251678861598266,716.9694594544076,-217.05927063527668
F_left,S4,7.822666701033713,723.0622929890006,-240.41213585523204
F_left,S4,2.005796064086424,719.307300233348,-266.35697357417877
F_left,S4,-25.766491492404363,724.3242836711315,-301.27828635581096
F_left,S4,-11.501658513976498,725.5187102783897,-313.5829701991888
F_left,S4,3.1985895790226544,712.53032639302,-348.5526347438719
F_left,S5,-2.5925334888600435,902.0590359647412,-20.897199991728755
F_left,S5,-13.854765496831538,905.2571493946259,-71.48865427073115
F_left,S5,0.6353416295531056,900.9329299955131,-92.74528128207189
F_left,S5,6.177915330666006,900.5512727074948,-117.94879520056568
F_left,S5,-12.13850448646892,896.7313274371612,-154.36002611170488
F_left,S5,-0.310461641261655,897.0028647628703,-175.79888060131194
F_left,S5,4.247375222937648,898.1865604613358,-213.71401466997807
F_left,S5,1.9806350904789138,901.9426425643277,-234.50732237417355
F_left,S5,2.6435446360804877,900.4311564557939,-261.6895867052064
F_left,S5,-6.777814764471768,899.4664797115034,-297.61324697014805
F_left,S5,6.911010659755129,899.838657878286,-321.61923935954644
F_left,S5,-19.027179212404448,900.2494913759552,-358.9330537328602
F_right,S0,791.9722746942618,0.07796612327745246,-35.36499388042588
F_right,S0,810.1506483176722,1.6554864504409699,-62.56652286998796
F_right,S0,803.9782564880796,1.4923625924163657,-91.85752406826857
F_right,S0,800.2904207985185,-0.2514467636261117,-112.63723257836754
F_right,S0,797.9250604925272,4.011517170127683,-157.64505250894183
F_right,S0,796.5083263945156,2.1293484274046297,-165.83994256432157
F_right,S0,793.5386841909484,-2.5293303621901724,-212.8698593497173
F_right,S0,803.2104517854257,4.70010699932384,-250.13243268698463
F_right,S0,798.2157776300801,3.652506003271006,-270.3663540795696
F_right,S0,782.9412023986812,1.4294233295115615,-310.74992178186045
F_right,S0,802.9377155977952,-5.858522516243057,-335.59866615232465
F_right,S0,807.4896777579886,-2.5086575896660572,-351.88710433444567
F_right,S1,794.8403355279675,183.81736997591625,-31.79299104584313
F_right,S1,801.0581398983018,184.80501567914476,-50.16744322797015
F_right,S1,797.9943537339329,176.03216240015735,-89.36571980886866
F_right,S1,802.8583200520162,177.78359312095523,-128.5592269284029
F_right,S1,800.4705989458516,176.86122057933062,-161.62814620971912
F_right,S1,814.0080146396555,183.42283172736217,-164.5528376167152
F_right,S1,803.3501932655196,183.3514938578353,-214.07754411623412
F_right,S1,799.0072611768322,181.62189069313112,-234.87076818671318
F_right,S1,807.0364743311851,170.61415579591554,-276.7864379853976
F_right,S1,802.3981049126605,179.2943863313568,-304.87748307704254
F_right,S1,794.114679519747,179.3216535202036,-322.88176017253954
F_right,S1,807.0292572833866,181.87142754834264,-353.5823320441511
F_right,S2,805.4852086078548,360.6812282618125,-38.120085160775076
F_right,S2,789.9332286139876,362.8822191886753,-60.24300983174212
F_right,S2,806.6839184634865,362.29163782872115,-95.15159188229947
F_right,S2,792.6585129282895,362.51026395943876,-118.69636354920544
F_right,S2,795.3535199088008,359.70154147347415,-155.86464449931466
F_right,S2,797.1616728016193,360.875949502919,-180.7161540140789
F_right,S2,806.95168808685,363.40823134770113,-203.28315242834626
F_right,S2,801.798403363421,359.56840838437546,-225.31869578537095
F_right,S2,787.5328210563092,362.4294514352374,-266.71735871265093
F_right,S2,793.4438074087602,354.2456125109206,-300.497587214745
F_right,S2,795.5595764964278,364.4800394912538,-325.34555180416487
F_right,S2,794.835953785602,361.55498806793247,-356.3563474380467
F_right,S3,795.702088213816,540.8647843332511,-22.446777527173403
F_right,S3,776.6869514666679,535.1201534109208,-56.535802873230075
F_right,S3,800.1197860932335,533.6351944051851,-95.41323339581619
F_right,S3,796.5620247814059,546.4527864134516,-125.31939102048035
F_right,S3,804.2880451242379,539.8852059397743,-149.4812948616596
F_right,S3,809.9034284156804,533.4278721476281,-182.16384625332262
F_right,S3,786.2065055332703,544.3164342388048,-211.5504092037288
F_right,S3,805.0226322993655,538.5119055636512,-234.2330207579345
F_right,S3,797.3295105992602,535.6419280765573,-269.3470905326125
F_right,S3,794.521233518141,541.1263477936725,-304.60428614546123
F_right,S3,803.4654409603813,549.1558798174274,-334.3136774049662
F_right,S3,797.4477019792354,543.1531152350198,-361.70252448358696
F_right,S4,783.6431512616616,714.8428084462297,-33.90830435261899
F_right,S4,800.0836559988057,724.0831379153921,-51.55003277070742
F_right,S4,796.2278811784363,719.2086639558871,-90.60812626934577
F_right,S4,799.253332037533,719.4995190149114,-127.994109284789
F_right,S4,807.9807098560659,713.3936817259276,-162.4926665832412
F_right,S4,812.7524061109734,724.9437832653211,-191.01052927696526
F_right,S4,802.7656537101424,721.6448719936367,-195.59062770357593
F_right,S4,803.7892955420738,727.9081769246596,-251.5724065677327
F_right,S4,793.079364996515,722.5525719470363,-272.36179755138045
F_right,S4,802.4323341895763,711.062655659685,-301.3152727656601
F_right,S4,809.7785218364315,723.6297323980646,-326.33125441610184
